state,age_band,not_hyper,hyper
 Ns ,0,0.997461205,0.728789677
 Nc ,0,5.29E-05,0.000416796
 Ls ,0,0.002464083,0.230600294
 Lc ,0,9.87E-08,0.000101888
 Hs ,0,2.15E-05,0.040084416
 Hc ,0,2.87E-10,5.91E-06
 D ,0,1.51E-07,1.02E-06
Vs,0,0.00E+00,0.00E+00
Vc,0,0.00E+00,0.00E+00
 Ns ,5,0.938856746,0.32224387
 Nc ,5,5.94E-05,0.000209494
 Ls ,5,0.05930098,0.420900323
 Lc ,5,2.85E-06,0.000207312
 Hs ,5,0.001779772,0.256396276
 Hc ,5,2.85E-08,0.000042171
 D ,5,1.74E-07,5.54E-07
Vs,5,0.00E+00,0.00E+00
Vc,5,0.00E+00,0.00E+00
 Ns ,10,0.879641842,0.195494366
 Nc ,10,5.94E-05,0.000170446
 Ls ,10,0.114705956,0.386242372
 Lc ,10,5.91E-06,0.00026142
 Hs ,10,0.005586592,0.417732855
 Hc ,10,9.64E-08,9.81E-05
 D ,10,1.75E-07,4.68E-07
Vs,10,0.00E+00,0.00E+00
Vc,10,0.00E+00,0.00E+00
 Ns ,15,0.843299877,0.089336479
 Nc ,15,6.30E-05,0.000118127
 Ls ,15,0.146302449,0.278858039
 Lc ,15,8.30E-06,0.000279936
 Hs ,15,0.010325945,0.631195345
 Hc ,15,1.95E-07,0.000211728
 D ,15,1.88E-07,3.46E-07
Vs,15,0.00E+00,0.00E+00
Vc,15,0.00E+00,0.00E+00
 Ns ,20,0.755036837,0.057378928
 Nc ,20,5.83E-05,4.80E-05
 Ls ,20,0.220876546,0.21717013
 Lc ,20,1.30E-05,0.000137949
 Hs ,20,0.0240147,0.725110585
 Hc ,20,4.69E-07,0.000154296
 D ,20,1.75E-07,1.46E-07
Vs,20,0.00E+00,0.00E+00
Vc,20,0.00E+00,0.00E+00
 Ns ,25,0.724196799,0.072723544
 Nc ,25,5.60E-05,6.07E-05
 Ls ,25,0.23871948,0.235294933
 Lc ,25,1.40E-05,0.00014906
 Hs ,25,0.037012862,0.691624931
 Hc ,25,7.24E-07,0.000146645
 D ,25,1.67E-07,1.77E-07
Vs,25,0.00E+00,0.00E+00
Vc,25,0.00E+00,0.00E+00
 Ns ,30,0.622399817,0.048212794
 Nc ,30,4.81E-05,4.02E-05
 Ls ,30,0.281901126,0.182816431
 Lc ,30,1.65E-05,0.000115562
 Hs ,30,0.095632431,0.768651916
 Hc ,30,1.87E-06,0.000162989
 D ,30,1.44E-07,1.21E-07
Vs,30,0.00E+00,0.00E+00
Vc,30,0.00E+00,0.00E+00
